
Predicted  #    $   ''   (   )     ,     .    :   ``    cc    cd    dt  ex    in    jj  jjr  jjs  ls   md    nn   nnp  nnps   nns  pos   prp  prp$    rb  rbr   rp    to   vb   vbd  vbg  vbn  vbp   vbz  wdt   wp  wp$  wrb
sym        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     1     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
to         0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0  1245    0     0    0    0    0     0    0    0    0    0
uh         0    0    0   0   0     0     0    0    0     0     0     1   0     0     0    0    0   0    0     3     0     0     0    0     0     0     4    0    0     0    0     0    0    0    0     0    0    0    0    0
vb         0    0    0   0   0     0     0    0    0     0     0     0   0     4    22    1    0   0    0   415    11     0     0    0     0     0     2    0    0     0  917     1    0    5  211     0    0    0    0    0
vbd        0    0    0   0   0     0     0    0    0     0     0     0   0     0     6    0    0   0    0   141     2     0     0    0     0     0     0    0    0     0    9  1470    0  208    1     0    0    0    0    0
vbg        0    0    0   0   0     0     0    0    0     0     0     0   0     0     2    0    0   0    0   268     1     0     0    0     0     0     0    0    0     0    0     0  546    0    0     0    0    0    0    0
vbg|nn     0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     1     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
vbn        0    0    0   0   0     0     0    0    0     0     0     0   0     0     9    0    0   0    0   196     1     0     0    0     0     0     0    0    0     0   35   218    0  639    0     0    0    0    0    0
vbn|jj     0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    2    0     0    0    0    0    0
vbp        0    0    0   0   0     0     0    0    0     0     0     0   0     1     4    0    0   0    0    88     0     0     0    0     0     0     0    0    0     0  101     0    0    2  606     0    0    0    0    0
vbz        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0    96     0     0    41   77     0     0     0    0    0     0    0     0    0    0    0  1022    0    0    0    0
wdt        0    0    0   0   0     0     0    0    0     0     0     0   0   138     0    0    0   0    0     2     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0  139    1    0    0
wp         0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0  111    0    0
wp$        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0   21    0
wrb        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     1     0     0     0    0     0     0     1    0    0     0    0     0    0    0    0     0    0    0    0  131
Accuracy:  83.13212727016753
